"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Effingham County","IL","Effingham","17","049",1284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169450,165450,162450,154900,149900,149900,159900,168000,168950,159900,159900,159900,165000,172000,171400,179900,165000,159900,149900,149900,157375,159000,149500,158375,164950,159900,171000,172000,162400,152400,149900,158950,149900,164350,164350,169900,169000,164950,162400,164900,154900,159000,157400,157950,164900,170000,154450,159900,164900,164900,158000,158000,156000,157950,157200
"Chambers County","AL","Valley","01","017",1285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89900,87400,84900,79950,79900,79900,79900,76950,77400,79200,79200,79900,72050,75000,79900,79900,75450,84950,88000,88000,88000,95000,93750,94250,91450,97500,89900,85500,93950,92400,84900,96500,108950,99000,97950,90000,87400,83450,80825,78500,79900,79500,79500,80000,80000,80000,79200
"Silver Bow County","MT","Butte-Silver Bow","30","093",1286,,,,,,,,,,,,,,,,,,,,,,,,,,,139000,129500,129500,135000,139900,137000,134750,130000,124900,122900,130000,125000,120000,139900,159000,159000,159950,158500,149750,146450,139900,139900,134700,145950,149900,154900,159949.5,169000,169650,148800,138500,135000,139200,135000,138500,139000,145000,159500,167500,159250,155000,159000,159000,159000,155000,145000,140500,139950,139450,139900,147900,143250,139950,139250,135000,135000,140000,149000,146000,144900,144900,144950,155000,154000,154900,158750,155000,159750,155000,155950,159900,159900,165000,165000,169000,169000,178750,169900,163750,155000
"Steuben County","IN","Angola","18","151",1287,199900,215000,199650,198500,199900,205400,199900,199250,199900,194700,194900,177900,164900,172250,178450,169900,160697.5,179500,159900,169900,172900,169900,173400,178250,167450,174500,176950,189900,198250,184200,184200,184200,179500,179900,174900,159950,159900,169900,169000,174700,174900,164450,165900,159450,159900,169900,153900,144700,142250,149900,149900,162422,165000,169900,160000,168550,163900,165000,168950,163900,154950,150000,155000,159225,164450,165000,178600,180000,179900,185000,189900,189900,194950,189900,190000,189900,193700,189900,179900,189000,189900,194900,189000,194850,189650,197075,196775,210700,210250,209900,209000,204950,199800,207700,214900,207200,205000,217450,218950,219900,229800,229400,229200,218000,218950,218000
"Evangeline Parish","LA",,"22","039",1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104950,120000,104950,97450,94900,94900,90500,85000,80000,85000,94000,95000,98000,88000,88000
"Macon County","NC",,"37","113",1289,325000,299700,299000,295000,3e+05,3e+05,299900,299900,299000,298000,299000,298500,299000,277000,298000,299000,299000,295000,288000,288000,288000,295000,295000,297000,297000,298500,289000,299000,279000,275000,275000,285000,275000,274000,277000,293000,299250,299000,299950,315000,325000,325000,325000,329000,329700,309500,299000,299250,299700,299000,299000,297500,295000,289000,289000,278500,269900,269250,279250,266000,259000,249900,244900,243950,240000,269000,272000,264000,265000,264900,269000,266500,259900,250000,249000,249000,259900,264900,269900,275000,276500,274900,274900,279450,275000,274000,265000,289000,293000,298000,298000,298750,299000,299000,299000,299900,299000,299000,299000,299900,299900,299900,311250,320000,319450,325000
"Dare County","NC","Kill Devil Hills","37","055",1290,394950,389900,384950,379000,374900,369900,365000,369000,369950,370000,369000,359000,359900,349000,362000,369900,369000,369900,369900,365000,364900,359999.5,356000,349900,349900,349250,349000,349900,339000,339900,339000,335000,335000,345000,349000,349000,349000,349000,349900,349000,349000,359000,349000,349000,349000,349000,349000,345000,349900,349900,350000,349000,349000,345000,339500,341900,348000,345000,349250,349000,345000,349900,348950,350000,350000,361325,359900,369000,370000,365500,374000,369000,369700,389900,369000,379500,389000,389900,399000,399000,399000,399900,399900,399000,399900,399999,399999,405450,419000,415000,415000,415000,419500,419000,415000,419000,419000,419000,419000,439000,437750,432000,422000,417000,424000,425000
"Fannin County","TX","Bonham","48","147",1291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,185250,185000,191400,190000,198500,190000,199500,199000,2e+05,184900,179000,179250,168000,186500,188200,185000,189000,199000,210000,211000
"Ford County","KS","Dodge City","20","057",1292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128250,127500,119000,126450,129000,136000,129000,127900,127900,127000,127000,129000,129700,134500,134700,134900,148000,129000,129250,128450,125200,137500,137750,127900,137500,138000,138000,139900,144450,149950,144900,149450,155000,152450,149900,155000,155950,149950,147900,145400,149000,144950,141500,144900,144000,158750,175450,168900,162500,144750,151500,148750,160000,159500,157000,154000,147500,149700,145000,149900,149900,149900,158300,159900,161950,158344.5,154900
"Washington County","TX","Brenham","48","477",1293,169000,171000,181500,179500,179500,180000,185000,178200,180000,179000,180000,185000,185250,179000,194900,215664,212250,199999,199700,199900,199900,199700,199700,2e+05,199900,2e+05,199700,189900,189900,189900,215000,225000,204500,199000,2e+05,197000,198000,2e+05,206910,210905,2e+05,2e+05,205000,2e+05,213750,229700,235500,235000,225000,219000,225000,219750,224450,213100,211450,212200,212200,223600,241600,241800,245000,247022,267000,295000,279000,256500,240000,236449.5,244500,241000,265000,247022,250012,249900,269750,3e+05,279350,289950,285000,299999.5,3e+05,314750,320000,309750,296975,299975,285000,284200,273000,279500,275000,284600,296050,294912,299250,320000,320000,325000,329000,369000,349650,349899,335000,327450,330000,332500
