"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Metro","Worcester, MA",,"MA","Worcester, MA, MA","Worcester, MA",57,1.58322056833559,88.03,0.0509,3.64,272800,0.294117647058824,6.52089027723546,0.0671114369501467,,0.0679809153811208,0.0788547488568813,74
"Metro","Stamford, CT",,"CT","Stamford, CT, CT","Stamford, CT",58,0.974289580514208,75.72,0.0217,2.39,336700,0.32777115613826,2.52740560292326,0.0386189486189485,,0.112932604735883,0.0701507254542893,106
"Metro","Albuquerque, NM",,"NM","Albuquerque, NM, NM","Albuquerque, NM",59,2.48985115020298,80,0.0173,1.41,194900,0.567595459236326,6.56096227446692,0.0448589020010262,,0.110120157732742,0.0478268634763984,74
"Metro","Albany, NY",,"NY","Albany, NY, NY","Albany, NY",60,4.62787550744249,85,0.0049,0.45,218800,0.413033501606241,7.25490196078431,0.0756627056672761,,0.10338783882644,0.0555825664852213,93
"Metro","Omaha, NE",,"NE","Omaha, NE, NE","Omaha, NE",61,5.91339648173207,97.31,0.0055,0.79,171900,0.644028103044497,7.10280373831776,0.00244909831297258,,0.0622945184134827,0.0204527676974604,56
"Metro","New Haven, CT",,"CT","New Haven, CT, CT","New Haven, CT",62,0.148849797023004,70.53,0.0333,2.82,212000,0.283822138126774,3.26351680467608,0.0461981132075471,,0.161174296785304,0.0635538983805443,91
"Metro","Bakersfield, CA",,"CA","Bakersfield, CA, CA","Bakersfield, CA",63,2.69282814614344,85.38,0.0217,1.33,212500,0.472813238770686,5.77401692384271,0.0446870588235293,,0.150148836644189,0.0303447159734585,73
"Metro","Knoxville, TN",,"TN","Knoxville, TN, TN","Knoxville, TN",64,4.33017591339648,86.38,0.0201,1.12,165200,0.425531914893617,7.48210800260247,0.0472276029055689,,0.0891156918676168,0.0175116351129149,70
"Metro","Greenville, SC",,"SC","Greenville, SC, SC","Greenville, SC",65,7.32070365358593,92.54,0.0065,0.9,173800,0.695249130938586,8.89724310776942,0.0427100115074799,,0.0717178168217373,0.0268895804364788,68
"Metro","Ventura, CA",,"CA","Ventura, CA, CA","Ventura, CA",66,8.02435723951286,90.46,0.0081,0.53,601300,0.250083361120373,5.82541358676522,0.0685065691002826,,0.0530354045505561,0.0230858022316275,65
"Metro","Allentown, PA",,"PA","Allentown, PA, PA","Allentown, PA",67,0.717185385656292,83.26,0.0316,3.03,201300,0.599700149925038,6.96068012752391,0.0437257824143069,,0.100625355577232,0.0649099545600752,77
"Metro","El Paso, TX",,"TX","El Paso, TX, TX","El Paso, TX",68,0.798376184032476,0,0.024,1.01,123600,0.324675324675325,4.21585160202361,0.00690129449838195,,,,98
"Metro","Baton Rouge, LA",,"LA","Baton Rouge, LA, LA","Baton Rouge, LA",69,5.42625169147497,91.91,0,0.05,169100,0.177725118483412,5.55555555555556,0.0269485511531637,,0.139205550681931,0.0444675826834993,80
"Metro","Dayton, OH",,"OH","Dayton, OH, OH","Dayton, OH",70,0.81190798376184,84.11,0.0398,4.13,121600,0.912863070539419,8.86302596239928,0.0300411184210527,,0.143260067362662,0.034350118470729,64
"Metro","McAllen, TX",,"TX","McAllen, TX, TX","McAllen, TX",71,5.39918809201624,,0.0297,0.77,101500,0.794438927507448,11.5384615384615,-0.0307389162561577,,,,114
"Metro","Columbia, SC",,"SC","Columbia, SC, SC","Columbia, SC",72,0.568335588633288,78.3,0.0174,,136500,0.293901542983101,5.97826086956522,0.0355384615384615,,0.144944160842661,0.0461905944305424,77
"Metro","Greensboro, NC",,"NC","Greensboro, NC, NC","Greensboro, NC",73,3.47767253044655,100,0.0309,1.88,132800,0.758725341426404,6.41025641025641,0.0537349397590361,,0.0901682905225863,0.050098231827112,71
"Metro","Akron, OH",,"OH","Akron, OH, OH","Akron, OH",74,0.690121786197564,77.78,0.0578,6.47,139300,0.577617328519856,6.49847094801223,0.070251256281407,,0.106011799129231,0.0387686923725819,65
"Metro","North Port-Sarasota-Bradenton, FL",,"FL","North Port-Sarasota-Bradenton, FL, FL","North Port-Sarasota-Bradenton, FL",75,9.43166441136671,85.42,0.002,0.13,256700,0.31262211801485,5.20491803278689,0.0754148811842619,,0.0423086798254577,0.0159915868450021,105
"Metro","Little Rock, AR",,"AR","Little Rock, AR, AR","Little Rock, AR",76,0.6765899864682,82.11,0.0248,,139400,0.359971202303816,3.64312267657993,0.0124605451936872,,0.126071409456679,0.0301979053725693,83
"Metro","Stockton, CA",,"CA","Stockton, CA, CA","Stockton, CA",77,6.96887686062246,91.44,0.0092,0.74,359900,0.446553167736534,7.85136350014984,0.0408835787718811,,0.0654250049534377,0.0246315364425601,58
"Metro","Charleston, SC",,"SC","Charleston, SC, SC","Charleston, SC",78,5.08795669824087,89.35,0.0088,1.93,251000,0.560897435897436,7.31081658828559,0.0262788844621513,,0.0693707927338773,0.0304794266737357,83
"Metro","Syracuse, NY",,"NY","Syracuse, NY, NY","Syracuse, NY",79,1.21786197564276,79.25,0.0072,2.55,134500,0.448095593726662,5.24256651017214,0.028446096654275,,0.106635877320744,0.0474137921189533,91
"Metro","Colorado Springs, CO",,"CO","Colorado Springs, CO, CO","Colorado Springs, CO",80,9.71583220568336,97.44,5e-04,0.1,286500,0.738396624472574,9.18445121951219,0.0615287958115183,,0.0756324270307019,0.0083551868560672,53
"Metro","Winston-Salem, NC",,"NC","Winston-Salem, NC, NC","Winston-Salem, NC",81,2.73342354533153,82.92,0.0269,1.94,141200,1.14613180515759,5.68862275449102,0.0670042492917846,,0.0905072505632794,0.0299548905386248,67
"Metro","Wichita, KS",,"KS","Wichita, KS, KS","Wichita, KS",82,3.05818673883627,97.22,0.0235,1.92,129800,0.386697602474865,5.27169505271695,0.0196995377503852,,0.0576643344909641,0.0280290260678221,61
"Metro","Springfield, MA",,"MA","Springfield, MA, MA","Springfield, MA",83,1.36671177266576,89.62,0.0444,4.59,222100,0.361500225937641,4.76415094339623,0.0511076091850517,,0.0673491530610206,0.0815721624832296,81
"Metro","Fort Myers, FL",,"FL","Fort Myers, FL, FL","Fort Myers, FL",84,7.65899864682003,90,0.001,0.5,230800,0.347826086956522,3.49775784753363,0.00749133448873485,,0.0644842495367511,0.0126436781609195,115
"Metro","Boise City, ID",,"ID","Boise City, ID, ID","Boise City, ID",85,8.8362652232747,90.23,0.0067,0.7,265500,1.2199771254289,13.9484978540773,0.0177928436911488,,0.0325337698663307,0.0117103978996988,49
"Metro","Toledo, OH",,"OH","Toledo, OH, OH","Toledo, OH",86,0.94722598105548,91.67,0.0378,4.53,111100,0.542986425339366,4.51552210724365,0.0484428442844285,,0.150384178325567,0.0405836344963953,70
"Metro","Madison, WI",,"WI","Madison, WI, WI","Madison, WI",87,7.57780784844384,94.47,0.0084,0.33,252200,-0.0792393026941363,4.56053067993366,0.0598810467882633,,0.0429842938201911,0.0131539084397512,66.5
"Metro","Lakeland, FL",,"FL","Lakeland, FL, FL","Lakeland, FL",88,7.26657645466847,73.95,0.0024,0.45,173800,0.753623188405797,9.51480781348456,0.0349999999999999,,0.0858060266754487,0.0201496833621186,79
"Metro","Ogden, UT",,"UT","Ogden, UT, UT","Ogden, UT",89,9.59404600811908,91.57,0.0033,0.48,300700,1.31401617250674,16.0555769972983,0.0416794146990356,,0.0428507535710774,0.00880400226213485,47
"Metro","Daytona Beach, FL",,"FL","Daytona Beach, FL, FL","Daytona Beach, FL",90,8.66035182679296,83.41,6e-04,0.38,198500,0.303183425972713,8.529250956807,0.0618488664987407,,0.0731308177483345,0.0174443985603262,86
"Metro","Des Moines, IA",,"IA","Des Moines, IA, IA","Des Moines, IA",91,5.18267929634641,91.88,0.0099,1,185400,0.107991360691145,6.00343053173242,0.0337216828478963,,0.0511484825379386,0.0274579263519029,72
"Metro","Jackson, MS",,"MS","Jackson, MS, MS","Jackson, MS",92,8.07848443843031,,0.0019,0.06,136800,1.25832716506292,6.2111801242236,0.0717105263157896,,0.0876010874936667,0.0506670290368423,77
