"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Houston County","AL","Dothan","01","069",488,59000,58250,58950,56900,50000,49900,49900,50000,49000,49000,45000,43225,43375,43200,43900,43500,42200,41000,39900,37700,38000,39000,39110,39900,38000,39900,39950,40000,39950,41250,41000,42900,42500,42700,43500,44900,44900,42900,43500,42900,42900,42900,42000,42900,42900,39950,41600,42900,39975,39800,39950,39925,42500,39950,40000,39950,39000,39900,40000,39900,36000,38000,38000,36900,38000,39000,37500,39900,36000,39000,39000,39000,39000,39000,39900,39900,39900,39900,39000,39900,39900,39000,39900,39900,39900,39900,39900,39900,40900,40000,40000,39999.5,42500,44900,44800,45000,45000,45000,44949,44900,42500,43000,42500,42000,42500,41950
"Ashtabula County","OH","Ashtabula","39","007",489,46850,43500,42500,42250,39900,42000,42700,42500,42250,44500,39900,39900,39900,40000,38500,37085.5,37000,37500,37000,38500,39215,39900,39000,35000,34900,34900,34900,34900,35000,35000,34900,34650,34900,34900,34900,34900,37900,37900,36950,35000,35750,37500,35500,36600,35000,35000,35000,35250,35000,35000,35000,35000,35700,37900,37500,39900,39900,39000,38950,38000,39000,37900,37500,35000,35500,37500,36900,35950,36000,35000,35000,35000,33900,34000,34000,34900,32000,33000,33000,32700,33150,32900,32000,31950,30000,29900,29000,29900,29900,30000,30000,31900,31900,32500,32900,31700,33749.5,31950,34900,34900,31750,33149.5,32250,32900,34900,34500
"Franklin County","MO","St. Louis","29","071",490,65000,66250,64900,65000,65500,64900,64900,64900,64200,62900,63200,60000,58250,55000,55000,55000,55000,55000,54950,51725,52000,50000,49000,49900,49000,46000,45000,43900,43900,44900,41900,42000,40000,42500,39900,39500,39500,39500,39500,39500,39500,39500,39900,40000,39713,39900,39900,39900,39500,42000,41400,39900,39900,44900,44000,43900,43950,44000,44000,44000,40000,42900,44900,42500,40000,39900,39500,40000,40000,40000,41000,39900,40000,40000,44900,44900,44900,44900,44900,45000,45000,45000,45000,44900,46900,45950,46900,48900,48900,49500,49900,49900,50000,50000,50000,52950,50890,52744,53530,53000,53000,51500,50000,49900,48900,48900
"Adams County","PA","Gettysburg","42","001",491,114900,114900,119900,119900,113950,117750,110450,112700,113000,110000,112700,99900,99500,97500,99000,91500,92700,94900,85000,84000,87200,87700,83900,82500,79900,79900,79900,79900,79900,82500,83900,84900,85000,89050,82700,82700,80400,79900,74900,79000,79000,73842,69900,70000,69950,69900,69000,69900,64900,69000,68900,68650,69900,69900,69900,69900,69900,73900,69900,70950,69900,74900,75000,74900,79900,79900,75033,77900,74950,69900,75000,69900,69000,69900,69900,69900,69000,72200,79000,79900,80000,80000,81250,90000,89900,89900,89900,80000,86300,89900,84900,80000,84550,84600,79900,80000,79900,80000,89900,84900,89900,88500,96500,99800,99400,99900
"Cecil County","MD","Philadelphia-Camden-Wilmington","24","015",492,115000,116900,119900,122000,124900,125000,119900,117400,116900,115000,115000,111900,109950,99999,110000,105500,105500,1e+05,1e+05,99000,99900,99700,99900,99900,99000,96000,95000,95000,95000,98000,95000,89900,93500,89997.5,90000,90000,89900,90000,94998.5,92900,90000,90000,89900,89995,89900,90000,89900,89900,89900,85000,89850,89850,89900,89900,90000,89900,87900,89900,94000,94700,89900,90000,89900,89800,89000,89900,89900,89800,89000,85000,89000,85000,84900,84200,85000,85000,86250,89050,89900,89900,89900,89900,89900,89000,89400,89000,89900,89900,92000,89900,89900,85000,89950,89000,85000,89900,85000,85000,84950,88900,89000,89900,89900,89900,89900,89900
"Pennington County","SD","Rapid City","46","103",493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95450,98950,84900,84950,83100,89900,90000,95000,91500,89900,89900,79000,79000,69900,79400,79900,87900,94900,94900,94900,94900,91950,90000,91950,90000,89000,89995,95000,96500,95000,1e+05,1e+05,98500,99900
"Bartow County","GA","Atlanta-Sandy Springs-Roswell","13","015",494,69900,70000,69999,70000,69900,69250,68300,66654,68550,64900,64000,59900,59900,59900,58310,55000,55000,55000,54900,55000,54999,54900,53900,52900,50000,49900,49900,46900,49900,49900,49900,49900,49000,49950,48069.5,48900,49900,49500,50000,50000,56000,59500,59900,60000,60000,60400,64000,65000,65500,66600,60000,64900,65000,67500,63500,68000,69450,72180,74080.5,74950,75000,75000,72000,69900,69900,69900,70000,69139,69069.5,69449.5,65000,65000,65000,64900,69900,69700,73950,69950,69900,72900,72900,74500,74000,69900,77400,78900,81194,85065,85202,85000,85339,88500,83250,85647,89900,94900,97700,95900,95950,99000,95900,1e+05,92500,99900,104900,100865
"Hanover County","VA","Richmond","51","085",495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000,84975,95700,89950,89250,89000,88000,99250,97000,95000,95250,94750,95000,95000,99500,95000,99000,99975,99825,1e+05,1e+05,99975,99000,99000,99000,109975,102250,99000,110000,115000,119925,99950,99975,99950,1e+05,103500,109950,114950,117252,120000,115000,109500,1e+05,115000,105000,105475,1e+05,1e+05,99500,105531,110000,119950,124950,124500,124500,110000,120000,115000
"Putnam County","NY","New York-Newark-Jersey City","36","079",496,229000,229000,225000,224900,225000,225000,225000,225000,225000,215000,214950,209000,208950,199000,199900,199900,199900,199000,199000,195000,196500,195000,189900,195000,192500,195000,190000,195000,195000,197000,194999.5,196000,189900,190000,189900,189000,185000,185000,185000,185000,185000,184700,185000,184250,189000,189900,189000,186400,189900,189999,190000,195000,195000,199000,199000,194949.5,195000,198500,190000,189000,189900,188000,193000,195000,199000,199000,199000,199000,199000,199000,198000,189999,199000,199000,199000,199250,199250,199900,199000,199000,199000,198845,199000,199000,189450,199000,199000,199900,199999,199900,209000,2e+05,2e+05,209500,219999,209000,199999,202450,209000,215000,225000,239000,229000,230000,234500,239000
"Yamhill County","OR","Portland-Vancouver-Hillsboro","41","071",497,165000,169200,169700,174200,169950,169000,169900,167341.5,159000,156637.5,150000,149450,145900,139900,140000,143000,139900,139000,135000,135000,135000,134900,129900,129000,120000,121000,120000,119900,128000,127000,129000,129900,125000,129900,125477,132000,136050,135500,135500,132500,139950,141250,145000,145000,149000,149900,145000,149450,149000,150000,150000,149900,150000,150000,155000,154900,159900,159900,164900,150000,150000,154900,159900,160000,159950,165450,160000,169900,169900,164900,169000,164950,160200,172900,178500,190000,189900,199900,2e+05,201500,210000,210000,214900,219850,219950,225000,225000,225000,239000,240000,235000,237250,246910,249900,249000,249900,239950,237000,250000,260000,261800,269900,269900,269450,265000,259900
