"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Erie, PA",156,242900,229900,229000,228450,229900,229000,229000,229000,229000,226900,229000,229900,229900,229000,225000,229900,229000,229900,229000,229000,225000,219900,219900,224700,225000,225000,229000,229000,224000,225375,229000,230000,229000,229000,229900,230000,229900,230000,229900,235000,229950,230000,229900,228500,227500,229000,229900,229900,229500,229900,231400,234900,238500,233900,230000,235000,234250,234250,230000,234750,229900,235000,239250,239900,239687.5,234900,234900,229900,234400,234900,229900,228950,229900,229900,239900,244900,248900,248000,244900,244900,240950,244000,245000,249900,257250,254400,254400,250000,252900,249900,252900,250000,250000,250000,250000,254900,254900,257500,254900,259500,254900,259000,255600,259500,254900,249900
"Fort Smith, AR",157,193000,190000,189900,189000,189900,189900,187000,185000,184900,181175,180000,179900,179900,185000,184900,185000,184900,189900,189900,188900,189900,189500,189250,188800,184700,186750,189900,189900,194500,195000,189900,192700,193350,189900,190500,189900,190000,189900,189900,194900,195000,195250,194200,192250,190000,190000,189900,189900,188915.5,189900,189950,189900,190000,189900,190000,194600,189900,189900,189250,188775,189250,189999,190000,193500,198500,199900,204900,209900,2e+05,2e+05,209000,207000,207000,210000,2e+05,199900,199900,199900,199999,2e+05,209900,212000,208750,212750,216250,219000,214900,218000,219500,219000,219000,219000,219900,222000,224800,221900,220250,220000,224775,225000,225000,229900,229900,229000,235000,237000
"Duluth, MN",158,259900,259900,259900,259000,259000,259000,255000,250000,255500,259000,259000,259000,250000,250000,249900,249900,249900,249900,249900,249900,249900,244900,244900,248000,249000,249000,249000,249900,249700,249000,249900,249500,249000,259900,249900,249900,249000,250000,250000,249900,250000,250000,249900,249000,249900,249900,255000,254900,249900,250000,259000,259500,255000,259650,259900,259900,260000,259900,261500,259500,259900,255000,269000,270000,279900,279900,279900,279900,279900,279900,279500,279900,279900,279000,279900,279900,279000,279000,279900,280000,285000,279900,284900,286400,298000,299000,289900,289900,299700,299900,299000,299000,299000,299000,299000,309700,315000,309450,318560,3e+05,299900,299900,299949.5,299999,299999,3e+05
"Atlantic City, NJ",159,495000,499000,496000,489000,499900,496250,489900,489000,475000,469000,475000,474500,469500,459000,450000,439000,438900,429900,424950,4e+05,4e+05,4e+05,399900,399000,399000,399000,389000,399000,399000,399000,399000,399000,399000,399900,399000,399900,422000,425000,419900,419900,424900,417000,419000,425000,425000,425000,425000,419900,399999.5,4e+05,399900,419900,419900,419900,410000,399900,399900,399900,399900,399900,399900,399990,399900,399000,395000,385000,390000,398000,389000,375000,375000,379000,379000,383700,375000,375000,369000,375000,375000,375000,379000,374999.5,369950,375000,375000,375000,370700,370700,375000,375000,375000,375000,379900,379890,382450,389000,395000,399000,399000,399000,399900,4e+05,399900,399900,414900,419450
"New London, CT",160,429899,429900,449000,429900,425000,421250,420000,419000,419900,424950,428000,419900,425000,425000,424900,419500,399900,399000,399900,399000,399000,399000,399000,395000,389000,384900,385000,375000,379900,379500,379000,381500,389000,379900,389000,389000,385000,379900,379900,384900,379900,379900,387950,389000,389900,396900,399000,399000,399000,399900,389900,395000,399000,399900,399000,399900,399900,399900,399900,399900,399000,399000,397500,389900,388944,389000,389000,389900,390000,389900,394900,399000,399000,399000,399000,395000,394900,398000,398900,398950,395000,399900,399900,399900,399900,399900,399900,399900,409900,409950,419900,429900,430000,430000,430000,430000,429900,429900,437000,430000,435000,435000,439900,439900,439900,440000
"San Luis Obispo, CA",161,799000,795500,795000,779000,762500,759000,759000,759000,760000,749000,745000,725000,719000,730000,729000,725000,712500,719000,7e+05,699000,699000,699000,699945,699000,699000,689990,698000,689495,679950,699000,712499.5,749000,770495,799000,797950,799000,789000,759000,757950,789000,795000,795000,790000,799000,799000,799000,795000,799970,799000,799900,799000,799000,799000,795000,789900,797000,799000,799000,820000,820000,825000,815000,817000,829000,839000,839000,849000,850000,865000,889000,920000,939000,935000,925000,899000,899000,9e+05,915000,949000,949000,950000,949500,925000,925000,934000,939625,925000,899900,949000,949000,953750,949000,965000,975000,980762.5,979950,995000,980000,995000,997000,995000,990000,987353,987706,995000,999000
"Gainesville, FL",162,299000,299900,299900,299000,291900,289000,284600,280450,282000,275000,275000,276000,285000,281450,280000,275000,269900,275000,278500,278950,275000,275000,279000,275000,279000,274950,265000,274900,269900,269900,269000,268200,271000,273000,273583,275000,269150,269900,270000,269000,269000,270000,275000,275000,279500,276000,275000,275000,274527,279000,279000,284900,288500,287250,285000,284900,285000,285500,289900,288950,289900,285500,289000,289000,280000,285000,289000,289900,290000,289900,289900,298000,299900,307090,311000,314900,310000,318500,319000,324999,325000,325000,328000,329000,340000,335000,338900,339000,339900,335000,340000,344400,350000,349900,339900,339900,349000,349900,344900,349107,349900,350000,350000,350000,349900,350000
"Santa Cruz, CA",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1099000,1177500,1195000,1195000,1167000,1192500,1195000,1200000,1209500,1200000,1219000,1199000,1200000,1250000,1298000,1299000,1299000,1299000,1304400,1383000,1386000,1400000,1396500,1399000,1385000,1399000,1399000,1379000,1350000,1345000,1395000,1399000,1449500,1450000,1495000,1499000,1490000,1469000,1499000,1495000,1488888,1495000,1498500
"Clarksville, TN",164,224900,225000,228750,225000,224900,224900,222700,222500,219900,220000,219900,219900,219900,219500,215000,215000,215000,214900,215000,214900,219900,219900,222500,219950,220000,219900,219950,219950,224900,222950,219950,219900,220000,220000,219900,218750,216650,216250,215600,214900,216900,217900,219900,219900,220000,220000,219900,219900,224500,225000,228850,228000,229700,229900,228406,229000,229900,229900,229900,229000,225000,225000,225000,228950,228700,229000,229900,229900,230000,232500,230000,229900,231500,237700,239000,235000,235000,235900,235000,238450,237500,235000,239900,241022.5,242250,244900,247500,244900,246900,244900,244900,248950,246925,248500,249000,249900,255000,254900,254900,255000,255000,255000,255850,259900,264900,267900
"Cedar Rapids, IA",165,239900,237900,233900,230479.5,232000,229000,229950,232250,230000,235000,236000,234900,230000,239267.5,239995,241747.5,246648,247950,245000,245000,247648,246450,249250,254900,249900,250000,249947,250000,249999,251686.5,254900,249950,250000,250000,249900,249900,250000,250000,250000,250000,249000,249900,250000,250000,249900,254900,263900,257875,256825,259900,273900,258744,258000,255900,259500,264900,259950,264900,259900,264510,269900,268500,265000,264950,264925,259900,259900,259925,264900,265000,275000,272900,274950,269900,269700,269970,270000,278148,279500,279900,279950,283975,289000,285900,288250,290000,295000,299000,299900,299500,299900,299950,299000,294975,294900,289900,295000,303175,3e+05,3e+05,299900,296900,299900,298930,299000,299900
