"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Brownsville, TX",119,39900,40000,40995,39900,38000,38000,36225,35995,38000,37450,36247.5,36000,35000,35000,35000,35000,35000,35000,35000,35000,32500,32000,31141,31382,31500,32000,32000,32500,32500,32900,33000,33500,31950,33500,30000,31200,33200,33500,33022,32000,30000,29900,29838.5,29900,31540,30000,29900,29900,29900,32200,32628,32900,32000,31170,29900,31035,32000,30675,32000,33800,33650,33900,35000,34500,35000,35000,35000,35000,35000,35000,37500,35000,35900,35000,37500,37500,37500,35000,38000,37900,40000,40000,40500,40500,40250,40750,40000,40000,41999.5,39997,41000,41000,40450,39999,40000,41000,41900,39900,39937.5,39999.5,39900,40000,39975,40006,40000,40000
"Killeen, TX",120,,,,,,,,,,,,,,,,60000,61837.5,61899.5,60000,59900,59900,57200,57000,54960,55000,54921,55000,52500,55000,55000,55000,55000,55000,57250,56000,59900,55925,56000,57000,57900,55000,58000,58000,57375,57900,58000,58000,56400,55000,56000,57500,59000,59025,59900,59900,59900,59900,59900,59500,59925,60000,60000,63900,64900,63950,62000,64700,62950,64000,65000,62000,63000,63500,64500,64900,67950,68900,65950,68000,67500,68000,69000,69000,69000,69900,65423,63500,64472.5,65000,64672.5,65000,69000,69000,69500,69900,69000,69000,69500,69500,69700,69700,69900,69000,69500,69900,67300
"Canton, OH",121,40000,41400,40000,40000,39949.5,40000,39900,39900,39900,39900,39900,39900,39000,35000,37370,36900,37000,39900,39900,37900,35000,34900,34900,34900,34900,34900,34900,32000,34900,34900,34000,34900,34900,32900,33900,33000,32900,33800,31125,34000,34900,35500,37900,35250,35000,34900,34900,34750,34900,36000,35000,37000,37500,37500,34900,36900,36000,37000,38000,37250,37450,39900,39900,40000,40000,39900,42450,43900,42500,43000,43400,42500,43300,43700,43400,44500,44900,44755,44900,44900,44900,44900,45000,43900,43900,43900,43400,42000,43189,44500,44500,44900,44900,44900,44900,44000,42900,42900,43550,43400,43500,43400,43500,45400,45400,45900
"Beaumont, TX",122,49900,49500,49900,49900,47500,47900,49000,49900,49000,47900,49000,42250,40000,38900,37500,37946,37500,36000,35900,35000,35000,35900,35900,35000,35000,35000,35000,35000,35000,35900,35700,37500,35900,35950,37000,35000,37000,38250,39250,39500,39700,39900,40000,42500,42000,42000,41560,42500,42000,42500,41000,40000,40000,42500,41300,40600,42000,37900,35900,37000,37925,37500,37000,35900,35100,35350,36500,37350,36900,38000,37000,38999,41999,42700,40000,39700,40000,42500,40000,40000,42000,40000,45000,44900,45000,45000,45000,45000,45000,45000,43000,45000,44500,45000,45000,45000,45000,45000,45000,45000,43505,45000,47250,49900,45000,45000
"Manchester, NH",123,139900,140000,142900,144450,140000,143900,145000,145000,149600,139900,139900,139000,132000,124900,129900,129900,129900,125000,124500,119900,119900,119900,118900,115900,115000,115000,118900,114900,110000,109900,114900,113400,110000,114900,115000,116450,115000,119900,119000,119900,124900,121950,121000,129000,135900,135000,134900,135000,134900,134900,134900,134950,134850,134900,132900,133000,132900,135000,134000,129900,129000,126000,129000,130854,135000,139900,139000,139000,139900,142900,142900,142750,139900,139900,148950,148250,147500,149900,149900,149900,147900,148000,147399,140950,143900,142500,149900,150000,150000,154997.5,155000,159900,159650,156450,159900,155000,157900,155180,154900,164900,162250,166950,165000,169500,169900,170000
"Salem, OR",124,107000,106900,112000,116900,119000,114304.5,109950,109876,109200,104500,1e+05,99900,98000,82500,85000,89000,89900,85000,78750,79900,79900,79200,79900,82500,82225,79700,74900,71900,79900,79900,79500,79750,77750,79900,79000,79900,79350,75000,76250,79000,79250,75900,79000,79900,79900,80000,83900,83950,83900,89500,89000,89500,95000,91750,89900,93000,95000,96192.5,99500,99900,99900,1e+05,1e+05,1e+05,100350,104900,105000,115000,115000,115000,110000,109900,109900,110000,119000,117450,119900,124900,124900,129900,130000,134950,135000,138200,139500,139500,140000,149900,145000,146900,150000,154900,156037,159061.5,154999.5,154999.5,150400,155900,157200,159900,165000,166900,169900,175450,179900,179900
"Anchorage, AK",125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106080,116000,125000,129500,125200,119000,119900,115000,110500,116388.5,125000,129500,135000,133900,132000,138700,135000,134900,134000,129000,127900,120000,120000,125000,125000,129000,130500,129900,132000,130000,135000,135000,130340,130000,130000,135000,135000,139900,145000,145000,144900,139000,139000
"Davenport, IL",126,55000,55000,49500,51525,54900,55000,55000,56950,58950,56552,57500,55000,54250,49500,50000,54500,54900,54900,54900,55000,54900,54900,49000,49000,49000,49000,46875,49000,46850,49000,49900,49900,46000,46000,46000,46000,46000,46750,46500,46750,46750,47250,46750,48900,49000,49750,49900,49900,49900,49950,49900,52000,54000,52900,52000,50000,49900,54000,54900,54900,52000,54900,52000,50000,53700,55000,53700,53000,54950,59900,59900,59900,59000,57250,56900,55450,57000,54450,50000,50000,50000,52500,52900,50000,50000,49900,49900,50000,49700,48800,49900,50000,50000,50000,49900,49900,54900,50000,53560,54900,55350,53900,55000,57950,59900,59900
"Peoria, IL",127,54000,54500,54900,55500,55000,54200,52500,52200,50440,50000,49900,49900,49900,45500,49900,49900,49900,47500,48225,48500,48500,48500,46950,45500,45950,46900,45500,46500,49900,46500,45900,46375,47500,47900,45900,49025,49900,49900,50000,49900,49900,49900,49900,49900,49900,49500,49900,48500,49000,48500,48500,44900,47500,47000,45000,47900,49900,49900,49900,47900,47000,45200,48000,48500,47900,48000,48000,49900,49900,49500,48700,47900,47000,47200,47000,46700,45000,46700,48000,48000,47900,48000,47900,47900,46748,47900,48000,48000,47900,47500,47900,48900,48900,47900,47900,48500,45000,45000,45000,44900,45000,46515,44900,48900,49000,49500
"Myrtle Beach, SC",128,92500,91300,90000,89994.5,89900,89500,88900,87000,85000,84900,79900,79900,79000,74900,74900,72000,69900,69500,65000,64900,60000,59900,59650,64900,58900,59900,59900,59900,59900,60000,59900,60000,60000,60000,62900,62900,60000,62500,64000,64900,68000,67000,65500,69000,69000,68200,68550,67900,69000,69500,69900,69900,69000,69900,69900,69900,69900,69900,69900,70000,69900,69900,69000,67500,65000,69000,69000,69000,69000,68500,67900,68000,66945,69000,69000,68900,69000,69900,69500,69000,69900,69900,69800,69900,69900,69900,73900,73000,70000,70000,69998,69900,69900,69900,69900,69900,69500,71993,72900,69900,74900,72500,72000,70900,70000,72900
