"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10"
"Coffee County","TN","Tullahoma-Manchester","47","031",796,238200,235450,234900,229900,228250,229900,225000,219450,220500,225000,229900,225000,219450,219900,219900,224575,229900,225000,225000,225000,225000,225000,224950,224700,220000,219500,224900,224900,225000,225000,227000,225000,225000,224999,225000,224900,224900,224900,219900,222400,225000,225000,229250,229000,227900,229900,237999,229900,229900,231250,229900,229900,239900,242900,248000,247700,247000,245900,244900,247900,248200,241949.5,239900,234900,248950,249900,256000,259900,254900,255450,254900,252950,264900,269000,264900,259900,255900,267900,279000,287500,285000,285000,283400,289000,287000,282450,295750,285000,289875.5,299000,317000,319900,304949.5,309900,319900,319900,315000,324900,304900,295000,309900,299900,299900,296950,303450,299900
"Saint Charles Parish","LA","New Orleans-Metairie","22","089",797,277900,278500,279000,276500,277950,279000,276250,272450,274950,277500,261900,258000,252400,252400,259900,269900,276865.5,278731,279000,275000,275000,275000,269000,259900,259000,259000,250000,256737,249000,250000,259900,259900,259900,259900,255000,260000,263900,263800,263800,265000,264500,264750,267000,279000,289900,289000,289900,289900,296750,298500,289900,289900,289900,289900,279900,279900,269700,269000,258000,259900,259900,269900,278600,269900,260000,262210,260000,269700,275000,277250,269450,268500,269000,278900,281450,277900,279900,298450,299900,329900,299950,299450,327450,344650,329950,337500,355000,370950,356700,347750,349250,337450,326850,326700,322450,319000,319500,330000,331000,333500,339000,339000,336000,331500,330000,338500
"Johnson County","MO","Warrensburg","29","101",798,232125,229500,228700,232000,229625,234000,230000,220000,225000,225000,220000,225000,219900,219900,219950,219950,224700,225000,225000,229900,229900,229900,232900,235000,239500,229000,234950,235000,237900,233750,225000,225000,235000,239900,240000,240000,245000,248500,250000,249700,249000,249900,249900,249900,257750,255000,259000,257400,255000,259500,249900,249000,249000,245000,249900,259500,264900,269900,272900,272000,279900,269900,259977,269900,268500,265000,269900,269900,279655,279450,284950,284950,279900,287450,279900,274900,289900,287450,279000,279975,286500,295000,299900,299900,295000,294500,292000,3e+05,295000,295000,289777,289777,284875,284750,292500,294900,295000,295000,299900,299000,299000,299000,298500,299000,295000,300624
"Lincoln County","MO","St. Louis","29","113",799,289900,290000,292450,289900,289900,296500,288500,279900,279000,292000,299000,295000,288500,288000,270000,275000,275000,275000,274000,275000,274900,276450,271500,274900,270000,279900,274000,269900,269900,269900,269950,268800,269900,282100,289990,279900,279450,275000,275000,269900,275000,269900,275000,279900,289000,285000,292000,285000,284942,287000,294750,284900,289000,284250,289650,292450,297500,289900,297250,298900,297000,304450,296950,3e+05,307250,299500,297000,299900,299900,309900,314728,314814,315000,315000,320000,313364,309450,309999.5,305000,309975,309400,309900,308950,295000,299999,299900,297325,299400,306450,327700,319450,315950,329900,318500,307450,307450,331200,339000,339000,342400,339900,342450,346875,344950,349900,345000
"Grady County","OK","Oklahoma City","40","051",800,212500,219000,229900,232400,224900,224900,227999,229900,233000,229450,225000,227999.5,227449.5,229000,225000,221950,224900,221900,221900,220000,220000,225000,228949.5,225000,219900,215000,228000,219900,212450,225000,229900,237000,229900,225000,225000,229900,229900,239000,239900,235900,227000,233900,229700,234900,235000,235450,228800,232900,248000,247450,249000,249500,249950,249900,249450,249800,245000,245000,249450,245000,249949.5,249900,250000,250000,257750,245000,249500,249500,249000,249250,246500,245000,240000,239950,236750,244300,253900,257900,259900,260900,265000,260900,250000,264900,265000,269700,269800,270000,275000,270900,269900,260000,263900,263400,269500,280500,279000,289900,286000,285000,279500,274900,269900,265000,265000,265000
"Vernon Parish","LA","Fort Polk South","22","115",801,190000,179700,179900,183900,183900,181500,187250,185000,188800,189000,185000,185000,178950,185000,185000,184900,185000,184900,189310,187750,188860,189900,190000,199950,199950,201500,205000,199900,199250,195500,189900,193500,188950,185000,179900,178000,189700,189000,181500,189000,189500,189500,189650,196500,192000,189900,190950,192000,194900,189900,189900,189000,189000,183000,192000,194900,199000,199000,196700,199000,199900,203000,209900,210000,204450,201200,198900,198450,195000,193494.5,191000,189900,198000,192750,199900,203500,201750,204450,199450,198750,195000,199900,2e+05,196000,192000,199000,199000,197000,2e+05,2e+05,2e+05,2e+05,202500,2e+05,208950,209000,206750,213000,215900,219500,213450,206000,203750,2e+05,207900,217595
"Union County","OH","Columbus","39","159",802,325000,327500,319900,324800,319900,316000,299450,298800,299900,289900,299000,289000,319900,324900,299900,299900,299950,319900,307400,299900,299949.5,299949.5,3e+05,299900,3e+05,315000,315000,309900,309000,299000,299900,295000,289900,297990,299900,3e+05,309900,3e+05,299900,299400,299900,309990,306445,319450,344900,345000,354950,367450,339255.5,324950,322445,340000,348400,333990,349350,349750,359900,350000,389500,398990,387945,389900,397990,369000,374900,383290,387580,392054.5,393990,382096,399900,409900,394900,397000,397000,395000,377250,375000,384900,377450,379900,389900,386400,410200,409000,409900,374900,394219,374900,349900,363445,368800,374850,362990,399850,379900,393990,439900,433855,418445,422338.5,419900,433945,424900,440450,439000
"McMinn County","TN","Athens","47","107",803,199900,199900,199900,199450,199900,199500,196900,195950,195950,196900,198500,194000,194500,198500,199000,196950,198900,194900,189900,194950,198500,193900,195950,199900,199000,199000,199000,199000,199000,199000,197500,199000,199450,199000,199900,199900,199900,199900,199900,199900,199900,195000,199900,199900,199900,196950,199500,2e+05,194900,189900,189900,189900,194450,194949.5,199250,199900,199900,199900,199949.5,205000,210000,215000,213900,219900,214999,217000,219000,218000,204900,205000,219000,229000,229500,219000,219900,229500,229900,223400,223400,220950,220000,228500,224900,227000,235000,229000,229900,229900,235000,235000,235000,239950,239000,234900,235000,239000,239000,238950,244900,239000,243500,239900,240000,249850,249900,249900
"Effingham County","GA","Savannah","13","103",804,280000,281345,282122.5,282900,282122.5,284950,276941,279500,274900,273450,269900,260000,265000,264900,264950,267701.5,264950,250000,250000,249950,269900,260000,254900,257200,257125,259900,257012.5,250000,250000,249900,260950,269750,274900,274900,274900,274900,264950,264250,261000,259900,259900,259900,265000,264900,256010,249950,262125,262312.5,265000,266073.5,272232.5,274000,273675,280000,281115,285725,274950,269900,269000,268682,264900,263450,264900,264900,269900,275000,274999,275000,276000,278650,288466,284900,279900,279900,279900,279900,289900,289900,289900,289900,289900,287900,284300,289900,279900,279900,279999,279900,280950,279900,279900,277950,279650,279150,281950,285000,285000,289550,288450,289900,289900,298700,296000,296000,299900,299900
"Pender County","NC","Wilmington","37","141",805,439250,431400,416500,4e+05,399900,399900,399895.5,399250,399900,399900,399900,399000,399000,399000,397500,389725,380000,375000,380500,377450,375000,374900,369000,351004.5,359000,350000,349900,374900,365000,374900,374900,379900,369000,369000,359950,350000,350000,350000,350000,350000,364900,365000,359250,359900,374900,375000,395000,389000,389000,394900,379000,389450,369950,364000,360485,364450,369500,362210,360000,365000,359000,349000,365600,375000,375000,379850,379000,380000,375000,377650,385000,389000,383000,381500,385000,386000,379900,386000,393815,392500,395000,399000,400143,399900,399950,419000,419750,4e+05,399900,404900,419000,419450,429000,419900,424900,429900,425000,425000,429000,429000,429900,429000,437900,429000,439900,435800
"Eagle County","CO","Edwards","08","037",806,1995450,1995000,1950000,1950000,1875000,1895000,1895000,1800000,1795000,1719500,1749500,1749000,1799499.5,1850000,1750000,1749500,1795000,1800000,1850000,1850000,1889000,1750000,1775000,1872500,1950000,1985000,1950000,1900000,1989000,1945000,1950000,1950000,1950000,1995000,1950000,1995000,1995000,1995000,1995000,1950000,1995000,1997000,1999000,2150000,2095000,2195000,2280000,2347000,2400000,2300000,2295000,2295000,2207500,2295000,2150000,2199000,2295000,2250000,2340000,2344500,2376000,2352000,2345000,2275000,2248750,2250000,2200000,2199000,2245000,2235000,2275000,2324500,2297500,2295000,2280000,2295000,2249000,2249000,2250000,2200000,2275000,2371000,2490000,2500000,2500000,2499000,2565000,2500000,2495000,2492500,2495000,2398500,2495000,2500000,2597500,2600000,2537500,2537500,2500000,2597500,2600000,2592500,2685000,2675000,2650000,2650000
"Saint Martin Parish","LA","Lafayette","22","099",807,254950,270216,274608,282000,282000,285000,266000,266000,257000,249949.5,249900,249250,254000,260000,254000,249900,260000,250000,255000,249950,249750,239450,256500,255000,255000,258000,265000,256500,237500,242000,242000,238500,250000,254000,243500,250000,249900,256750,274000,250000,274000,267500,244500,267500,274950,274900,273000,250000,230000,230500,227500,250000,261900,254000,250000,251250,255300,269750,278950,269000,275000,276500,278000,272000,273500,273000,277450,279900,278000,279070,279850,280000,281000,279850,279425,279850,276950,274550,270000,269500,269000,259900,269000,273515,279425,279000,272408,275000,272592.5,275000,275000,274900,275000,279500,275000,275000,275875,274500,259950,266321,269000,279900,278640,285000,283875,280250
"Taney County","MO","Branson","29","213",808,254999,249900,259000,250000,254500,255000,259700,259900,264900,265000,262900,260000,269000,269900,266900,266900,259900,256900,264950,259900,259900,259000,266500,275000,268200,263750,259900,265277,260000,260950,270000,260475,260475,269000,269000,275500,264900,269000,264900,265000,264900,259900,257000,250000,250000,259550,259600,250000,259900,269900,269000,269000,274900,275000,278000,269950,267000,269900,265000,269500,274950,274900,275000,274900,264900,264950,259000,263950,269900,269250,265500,263450,263450,265000,260950,260000,269500,274900,275000,275000,279950,287000,289388,296950,299000,289644,295000,289900,299900,299900,299000,299900,299900,289900,279950,280000,294950,296000,299900,295000,299000,3e+05,3e+05,307950,316900,316900
"Franklin County","NY","Malone","36","033",809,229450,225000,229450,232500,229000,235000,259500,295000,295000,293750,295000,290000,292500,292500,279900,259500,249000,229000,220000,225000,219000,212450,214900,210000,218225,219000,219000,218225,220000,221250,215000,222500,215000,219000,212500,215000,209000,199900,209000,209000,209000,219750,245000,225000,219950,247000,239000,219950,218250,207500,207000,199900,212450,215000,219000,225000,219900,218450,215000,199900,198500,194950,198000,199700,219950,219000,219000,229900,219000,219000,208950,199900,199000,199000,199000,212500,221750,239000,245000,239450,239000,245000,242000,245000,248250,249000,258000,259000,259450,259000,259900,258000,259000,259000,259000,275000,259900,250000,250000,250000,249700,250000,250000,249900,250000,250000
