"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Pittsburgh","Pittsburgh","PA","Pittsburgh, PA, PA","Pittsburgh, PA",58,3.85177009932931,93.51,0.0322,1.72,148300,0.542372881355932,13.3792048929664,0.0936682400539448,,0.0858972978255393,0.0286548244527379,66.5
"City","Cincinnati","Cincinnati","OH","Cincinnati, OH, OH","Cincinnati, OH",59,2.41022158077935,100,0.0341,3.32,138700,0.946142649199418,8.61393891934221,0.0691708723864455,,0.133795659170076,0.0362895285710249,66
"City","Anaheim","Anaheim","CA","Los Angeles-Long Beach-Anaheim, CA, CA","Los Angeles-Long Beach-Anaheim, CA",60,3.13354274556414,93.91,0.004,0.18,592200,-0.118063754427391,3.93120393120393,0.0260435663627152,,0.0452630543148531,0.0125802687605928,58
"City","Santa Ana","Santa Ana","CA","Los Angeles-Long Beach-Anaheim, CA, CA","Los Angeles-Long Beach-Anaheim, CA",61,3.74395109941421,93.94,0.0062,0.23,541700,0.0738961758728986,7.07649733148844,0.0151799889237585,,0.0611354056259009,0.00878354330884839,63
"City","Columbia","Columbia","SC","Columbia, SC, SC","Columbia, SC",62,0.636726377451397,75.14,0.0309,2.18,131600,0.611620795107034,5.19584332533973,0.0624012158054712,,0.178822049188815,0.0491932679293759,74
"City","Islip","Islip","NY","New York, NY, NY","New York, NY",63,0.731810849817472,,0.0045,0.14,350300,1.0966810966811,1.68359941944848,0.0557293748215815,,0.127114239304921,0.148071322793661,103
"City","Marietta","Marietta","GA","Atlanta, GA, GA","Atlanta, GA",64,6.77986246710247,96.55,0.0144,0.11,280800,0.753498385360603,9.81619084865076,0.0641524216524216,,0.0659227251888292,0.0122415638400696,57
"City","Saint Louis","Saint Louis","MO","St. Louis, MO, MO","St. Louis, MO",66,0.642669156974276,80.52,0.0398,4.21,119100,0.252525252525253,3.92670157068063,0.0601595298068849,,0.179671921944694,0.0311461143496046,68
"City","Lexington","Lexington","KY","Lexington, KY, KY","Lexington, KY",67,5.81118940487308,92.67,,,179300,0.504484304932735,5.53266627427899,0.0589570552147238,,0.0528568474883005,0.0160090578610085,60
"City","Fort Wayne","Fort Wayne","IN","Fort Wayne, IN, IN","Fort Wayne, IN",68,7.06596485270396,100,,,128700,0.941176470588235,10.8527131782946,0.0587645687645688,,0.0550198869284894,0.0352122918360667,54
"City","Greensboro","Greensboro","NC","Greensboro, NC, NC","Greensboro, NC",69,1.58162832158927,82.93,0.0253,1.35,139400,0.722543352601156,7.72797527047913,0.0471018651362984,,0.0936700102991326,0.0398872476930353,61
"City","Silver Spring","Silver Spring","MD","Washington, DC, VA","Washington, DC",70,2.01799813226929,89.29,0.0112,0,407700,0.29520295202952,5.40330920372285,0.039374540103017,,0.115544459870813,0.0410545525729761,76
"City","Toledo","Toledo","OH","Toledo, OH, OH","Toledo, OH",71,0.3344935902878,,0.0465,6.07,68600,0.145985401459854,5.70107858243451,0.0592565597667638,,0.258497518868554,0.0500999167109135,68
"City","Anchorage","Anchorage","AK","Anchorage, AK, AK","Anchorage, AK",72,1.72765090415146,82.74,,,338800,-0.323624595469256,0.444707975096353,-0.00482585596221963,,0.0828069991431916,0.012108426087394,86
"City","Saint Paul","Saint Paul","MN","Minneapolis-St Paul, MN, MN","Minneapolis-St Paul, MN",73,3.7252737923423,90.34,0.0157,1.22,213600,0.328792860497886,6.32155301144848,0.0656647940074906,,0.0724723745743359,0.0147562855411101,67
"City","Naples","Naples","FL","Naples, FL, FL","Naples, FL",74,3.60811613889125,81.03,,,324300,-0.030826140567201,3.31315705638738,0.0283040394696268,,0.0721709442935982,0.00845160027951294,142
"City","Durham","Durham","NC","Durham, NC, NC","Durham, NC",75,8.08642499363274,96.27,,,221700,1.04831358249772,11.7439516129032,0.0583987370320254,,0.0582878180684271,0.0160588943556334,53
"City","Tallahassee","Tallahassee","FL","Tallahassee, FL, FL","Tallahassee, FL",76,4.43416249257153,78.29,,,180300,1.12170499158721,8.09352517985612,0.0371824736550195,,0.137411032275659,0.0332406781752362,75
"City","Stockton","Stockton","CA","Stockton, CA, CA","Stockton, CA",77,5.39094999575516,88.27,0.0142,0.72,295700,0.646698434309054,10.5420560747664,0.0518329387893135,,0.0819119522923766,0.0296411605027999,64
"City","Plano","Plano","TX","Dallas-Fort Worth, TX, TX","Dallas-Fort Worth, TX",78,7.52525681297224,96.46,0,0,330900,0.181653042688465,3.79548306148055,0.0460320338470837,,,,60
"City","Newark","Newark","NJ","New York, NY, NY","New York, NY",79,4.85864674420579,,,0.31,247100,0.857142857142857,27.1090534979424,0.103828409550789,,0.318844323749934,0.154560316875036,130
"City","Henderson","Henderson","NV","Las Vegas, NV, NV","Las Vegas, NV",80,4.77884370489855,79.72,0.0198,0.47,325800,0.898110870238464,12.1900826446281,0.0689103744628607,,0.0863944045682737,0.0362948612413075,56
"City","Lincoln","Lincoln","NE","Lincoln, NE, NE","Lincoln, NE",81,5.96824857797776,95.06,,,177900,0.28184892897407,6.59077291791492,0.0394435075885329,,0.0362929803087432,0.00654023581973384,55
"City","Modesto","Modesto","CA","Modesto, CA, CA","Modesto, CA",82,6.39188386110875,92.26,,,289600,0.450919181408255,7.06099815157116,0.0434150552486188,,0.0675420769896868,0.0191273478698497,58
"City","Chandler","Chandler","AZ","Phoenix, AZ, AZ","Phoenix, AZ",83,3.5121826980219,83.65,0.0048,0.34,307700,0.621321124918247,7.96491228070175,0.0350016249593761,,0.0847147136369691,0.00945892366339571,50
"City","Jersey City","Jersey City","NJ","New York, NY, NY","New York, NY",85,7.81645300959334,,,3.8,474400,1.23772940674349,16.0185864514551,0.1139586846543,,0.122059926533521,0.0583907908467222,115
